session,budget_year,expenditure_area,expenditure_area_name,actor,proposal_type,amount_msek,deviation_msek,budget_share_pct,document_id,source_url
2016/17,2017,22,Kommunikationer,L,party_motion,54463,-652,5.7688,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,23,"Areella näringar, landsbygd och livsmedel",L,party_motion,16978,-211,1.7983,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,24,Näringsliv,L,party_motion,5514,-942,0.5841,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,25,Allmänna bidrag till kommuner,L,party_motion,99621,-5934,10.552,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,26,Statsskuldsräntor m.m.,L,party_motion,16468,0,1.7443,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,27,Avgiften till Europeiska unionen,L,party_motion,29586,0,3.1338,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,1,Rikets styrelse,M,party_motion,13070,-198,1.3736,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,2,Samhällsekonomi och finansförvaltning,M,party_motion,15089,-170,1.5858,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,3,"Skatt, tull och exekution",M,party_motion,10974,-12,1.1534,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,4,Rättsväsendet,M,party_motion,43523,1056,4.5742,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,5,Internationell samverkan,M,party_motion,1913,0,0.2011,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,6,Försvar och samhällets krisberedskap,M,party_motion,50254,0,5.2817,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,7,Internationellt bistånd,M,party_motion,33592,-1398,3.5305,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,8,Migration,M,party_motion,32072,-508,3.3707,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,9,"Hälsovård, sjukvård och social omsorg",M,party_motion,68060,-436,7.1531,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,M,party_motion,102369,-4683,10.7589,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,11,Ekonomisk trygghet vid ålderdom,M,party_motion,34972,198,3.6755,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,12,Ekonomisk trygghet för familjer och barn,M,party_motion,88784,-707,9.3311,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,13,Jämställdhet och nyanlända invandrares etablering,M,party_motion,32546,-89,3.4206,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,14,Arbetsmarknad och arbetsliv,M,party_motion,72028,-3629,7.5701,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,15,Studiestöd,M,party_motion,22583,149,2.3735,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,16,Utbildning och universitetsforskning,M,party_motion,72392,11,7.6083,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,17,"Kultur, medier, trossamfund och fritid",M,party_motion,14042,-479,1.4758,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",M,party_motion,1229,-5536,0.1292,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,19,Regional tillväxt,M,party_motion,3595,0,0.3778,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,20,Allmän miljö- och naturvård,M,party_motion,6288,-2116,0.6609,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,21,Energi,M,party_motion,2456,-421,0.2581,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,22,Kommunikationer,M,party_motion,54695,-420,5.7484,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,23,"Areella näringar, landsbygd och livsmedel",M,party_motion,16887,-302,1.7748,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,24,Näringsliv,M,party_motion,6055,-401,0.6364,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,25,Allmänna bidrag till kommuner,M,party_motion,105959,404,11.1362,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,26,Statsskuldsräntor m.m.,M,party_motion,16468,0,1.7308,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,27,Avgiften till Europeiska unionen,M,party_motion,29586,0,3.1095,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,1,Rikets styrelse,SD,party_motion,12658,-610,1.3571,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,2,Samhällsekonomi och finansförvaltning,SD,party_motion,15451,192,1.6566,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,3,"Skatt, tull och exekution",SD,party_motion,11361,375,1.2181,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,4,Rättsväsendet,SD,party_motion,45134,2667,4.8391,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,5,Internationell samverkan,SD,party_motion,2754,841,0.2953,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,6,Försvar och samhällets krisberedskap,SD,party_motion,52346,2092,5.6123,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,7,Internationellt bistånd,SD,party_motion,36040,1050,3.864,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,8,Migration,SD,party_motion,20060,-12520,2.1507,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,9,"Hälsovård, sjukvård och social omsorg",SD,party_motion,71240,2744,7.638,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,SD,party_motion,111462,4410,11.9505,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,11,Ekonomisk trygghet vid ålderdom,SD,party_motion,39941,5167,4.2823,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,12,Ekonomisk trygghet för familjer och barn,SD,party_motion,88984,-507,9.5405,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,13,Jämställdhet och nyanlända invandrares etablering,SD,party_motion,15887,-16748,1.7033,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,14,Arbetsmarknad och arbetsliv,SD,party_motion,78129,2472,8.3766,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,15,Studiestöd,SD,party_motion,22834,400,2.4482,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,16,Utbildning och universitetsforskning,SD,party_motion,71034,-1347,7.6159,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,17,"Kultur, medier, trossamfund och fritid",SD,party_motion,14625,104,1.568,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",SD,party_motion,2390,-4375,0.2562,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,19,Regional tillväxt,SD,party_motion,3595,0,0.3854,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,20,Allmän miljö- och naturvård,SD,party_motion,6122,-2282,0.6564,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,21,Energi,SD,party_motion,2522,-355,0.2704,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,22,Kommunikationer,SD,party_motion,57273,2158,6.1406,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,23,"Areella näringar, landsbygd och livsmedel",SD,party_motion,19197,2008,2.0582,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,24,Näringsliv,SD,party_motion,6015,-441,0.6449,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,25,Allmänna bidrag till kommuner,SD,party_motion,79593,-25962,8.5336,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,26,Statsskuldsräntor m.m.,SD,party_motion,16468,0,1.7656,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
