budget_year,expenditure_area,expenditure_area_name,appropriation_rows,approved_budget_msek,amendments_msek,outturn_msek,source_url
2002,27,Avgiften till Europeiska unionen,1,23055.0,0.0,20648.27440564,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,1,Rikets styrelse,25,9560.881,340.329,9701.61047874,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,2,Samhällsekonomi och finansförvaltning,27,8960.295,14.25,8849.864252449996,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,3,"Skatt, tull och exekution",4,8265.923,1.567,8283.63999265,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,4,Rättsväsendet,14,24581.861,372.85,25509.88738286,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,5,Internationell samverkan,17,1284.511,0.0,1114.6124888200004,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,6,Försvar och samhällets krisberedskap,28,45103.746,3.3999999999999972,45535.76210661,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,7,Internationellt bistånd,6,17140.303,-74.979,15912.02533395,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,8,Migration,7,4437.070999999999,160.3,4921.338779830001,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,9,"Hälsovård, sjukvård och social omsorg",35,33340.310000000005,673.0,34051.44063047,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,8,119398.96399999999,-839.0,121464.02312577,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,11,Ekonomisk trygghet vid ålderdom,5,52547.32,0.0,51953.61057532,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,12,Ekonomisk trygghet för familjer och barn,8,56718.1,-470.0,55817.9393359,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,13,Integration och jämställdhet,11,7003.736,97.0,6988.7649319600005,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,14,Arbetsmarknad och arbetsliv,18,57152.403999999995,3682.25,61179.79442615001,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,15,Studiestöd,10,21979.574999999997,-540.0,20292.55834322,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,16,Utbildning och universitetsforskning,94,42031.050999999985,0.2,41639.03212445998,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,17,"Kultur, medier, trossamfund och fritid",56,8357.903,19.73,8351.53254872,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",24,3733.909,-123.7,3291.6329499699996,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,19,Regional utveckling,10,3157.776,-2.5,3421.0499386499996,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,20,"Klimat, miljö och natur",17,3107.4840000000004,-150.35,2497.5901033400005,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,21,Energi,15,1727.577,0.0,1945.9108153399998,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,22,Kommunikationer,22,26164.343999999997,-507.15,25130.649336429997,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2003,23,"Areella näringar, landsbygd och livsmedel",39,10480.979000000003,-194.0,9614.550244,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
