session,budget_year,expenditure_area,expenditure_area_name,actor,proposal_type,proposed_msek,approved_budget_msek,amendments_msek,outturn_msek,outturn_minus_proposal_msek,proposal_source_url,outturn_source_url
2016/17,2017,16,Utbildning och universitetsforskning,KD,party_motion,73025,72386.70700000001,676.45,71104.11209991004,-1920.8879000899615,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,17,"Kultur, medier, trossamfund och fritid",KD,party_motion,13966,14521.253999999999,0.0,14475.495515710001,509.4955157100012,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",KD,party_motion,1161,6764.5599999999995,40.0,3802.6354355000003,2641.6354355000003,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,19,Regional tillväxt,KD,party_motion,3599,3595.4809999999998,0.0,2808.29513749,-790.7048625100001,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,20,Allmän miljö- och naturvård,KD,party_motion,5449,8403.539,509.0,7780.1020456,2331.1020455999997,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,21,Energi,KD,party_motion,2764,2936.295,203.0,3051.663969999999,287.66396999999915,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,22,Kommunikationer,KD,party_motion,55467,55039.651999999995,43.0,53223.35690792,-2243.6430920799976,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,23,"Areella näringar, landsbygd och livsmedel",KD,party_motion,17241,17189.401,1052.5,17225.16740526,-15.832594740000786,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,24,Näringsliv,KD,party_motion,5280,6456.0199999999995,400.0,6415.597453350001,1135.5974533500012,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,25,Allmänna bidrag till kommuner,KD,party_motion,94725,105554.92,11.236,105565.837046,10840.837046,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,26,Statsskuldsräntor m.m.,KD,party_motion,16468,16467.79,0.0,10568.71727342,-5899.282726580001,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,27,Avgiften till Europeiska unionen,KD,party_motion,29586,29586.305,0.0,24224.47935722,-5361.52064278,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,1,Rikets styrelse,L,party_motion,13242,13592.676,47.2,13654.491512609999,412.4915126099986,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,2,Samhällsekonomi och finansförvaltning,L,party_motion,15096,15009.626999999999,25.0,15004.768431769999,-91.23156823000136,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,3,"Skatt, tull och exekution",L,party_motion,11005,10985.563999999998,38.0,11011.37116155,6.37116154999967,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,4,Rättsväsendet,L,party_motion,43279,42461.197,1408.0,44058.545762689995,779.5457626899952,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,5,Internationell samverkan,L,party_motion,1913,1913.291,250.20000000000002,1953.3613348200001,40.36133482000014,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,6,Försvar och samhällets krisberedskap,L,party_motion,52221,50194.967000000004,485.0,50323.41789323999,-1897.5821067600118,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,7,Internationellt bistånd,L,party_motion,35454,34990.005,1784.554,36706.67201382999,1252.6720138299934,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,8,Migration,L,party_motion,32111,32580.319,6841.0,40033.513119949996,7922.513119949996,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
